,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
319,3409,1981-12-18,Heartbeeps,10000000.0,6000000.0,6000000.0,1980
320,3612,1981-12-25,Modern Problems,8000000.0,24474312.0,24474312.0,1980
321,3024,1982-01-29,The Border,13500000.0,6118683.0,6118683.0,1980
322,3105,1982-02-04,Cat People,12500000.0,21000000.0,7000000.0,1980
323,4011,1982-02-04,Diner,5000000.0,12592907.0,12592907.0,1980
324,3988,1982-03-11,The Man From Snowy River,5000000.0,20659423.0,20659423.0,1980
325,4161,1982-03-19,Porky's,4000000.0,109492484.0,109492484.0,1980
326,3127,1982-04-06,Star Trek II: The Wrath of Khan,12000000.0,95800000.0,78912963.0,1980
327,3290,1982-04-06,Poltergeist,10700000.0,121706019.0,74706019.0,1980
328,2355,1982-05-14,Conan the Barbarian,20000000.0,79114085.0,38264085.0,1980
329,4544,1982-05-21,Mad Max 2: The Road Warrior,2000000.0,24600832.0,24600832.0,1980
330,2286,1982-06-18,Firefox,21000000.0,45785720.0,45785720.0,1980
331,1908,1982-06-25,Blade Runner,28000000.0,33139618.0,32656328.0,1980
